conv4.1.conv2c.0.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2c.0.bn.weight                                             (128,)
conv4.1.conv2c.0.bn.bias                                               (128,)
conv4.1.conv2c.0.bn.running_mean                                       (128,)
conv4.1.conv2c.0.bn.running_var                                        (128,)
conv4.1.conv2c.0.bn.num_batches_tracked                                ()
conv4.1.conv2c.1.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2c.1.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2c.1.bn.weight                                             (128,)
conv4.1.conv2c.1.bn.bias                                               (128,)
conv4.1.conv2c.1.bn.running_mean                                       (128,)
conv4.1.conv2c.1.bn.running_var                                        (128,)
conv4.1.conv2c.1.bn.num_batches_tracked                                ()
conv4.1.conv2c.2.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2c.2.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2c.2.bn.weight                                             (128,)
conv4.1.conv2c.2.bn.bias                                               (128,)
conv4.1.conv2c.2.bn.running_mean                                       (128,)
conv4.1.conv2c.2.bn.running_var                                        (128,)
conv4.1.conv2c.2.bn.num_batches_tracked                                ()
conv4.1.conv2d.0.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2d.0.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2d.0.bn.weight                                             (128,)
conv4.1.conv2d.0.bn.bias                                               (128,)
conv4.1.conv2d.0.bn.running_mean                                       (128,)
conv4.1.conv2d.0.bn.running_var                                        (128,)
conv4.1.conv2d.0.bn.num_batches_tracked                                ()
conv4.1.conv2d.1.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2d.1.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2d.1.bn.weight                                             (128,)
conv4.1.conv2d.1.bn.bias                                               (128,)
conv4.1.conv2d.1.bn.running_mean                                       (128,)
conv4.1.conv2d.1.bn.running_var                                        (128,)
conv4.1.conv2d.1.bn.num_batches_tracked                                ()
conv4.1.conv2d.2.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2d.2.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2d.2.bn.weight                                             (128,)
conv4.1.conv2d.2.bn.bias                                               (128,)
conv4.1.conv2d.2.bn.running_mean                                       (128,)
conv4.1.conv2d.2.bn.running_var                                        (128,)
conv4.1.conv2d.2.bn.num_batches_tracked                                ()
conv4.1.conv2d.3.conv1.weight                                          (128, 128, 1, 1)
conv4.1.conv2d.3.conv2.weight                                          (128, 1, 3, 3)
conv4.1.conv2d.3.bn.weight                                             (128,)
conv4.1.conv2d.3.bn.bias                                               (128,)
conv4.1.conv2d.3.bn.running_mean                                       (128,)
conv4.1.conv2d.3.bn.running_var                                        (128,)
conv4.1.conv2d.3.bn.num_batches_tracked                                ()
conv4.1.gate.fc1.weight                                                (8, 128, 1, 1)
conv4.1.gate.fc1.bias                                                  (8,)
conv4.1.gate.fc2.weight                                                (128, 8, 1, 1)
conv4.1.gate.fc2.bias                                                  (128,)
conv4.1.conv3.conv.weight                                              (512, 128, 1, 1)
conv4.1.conv3.bn.weight                                                (512,)
conv4.1.conv3.bn.bias                                                  (512,)
conv4.1.conv3.bn.running_mean                                          (512,)
conv4.1.conv3.bn.running_var                                           (512,)
conv4.1.conv3.bn.num_batches_tracked                                   ()
conv5.conv.weight                                                      (512, 512, 1, 1)
conv5.bn.weight                                                        (512,)
conv5.bn.bias                                                          (512,)
conv5.bn.running_mean                                                  (512,)
conv5.bn.running_var                                                   (512,)
conv5.bn.num_batches_tracked                                           ()
fc.0.weight                                                            (512, 512)
fc.0.bias                                                              (512,)
fc.1.weight                                                            (512,)
fc.1.bias                                                              (512,)
fc.1.running_mean                                                      (512,)
fc.1.running_var                                                       (512,)
fc.1.num_batches_tracked                                               ()
classifier.weight                                                      (751, 512)
classifier.bias                                                        (751,)
